ID_Vendedor|ID_Producto|Cantidad|Fecha
VEND_003|PROD_006|8|2024-07-19
VEND_003|PROD_008|10|2024-06-02
VEND_001|PROD_007|5|2024-09-03
VEND_001|PROD_001|8|2024-09-08
VEND_004|PROD_003|2|2024-05-23
VEND_002|PROD_005|10|2024-09-17
VEND_005|PROD_004|9|2024-01-14
VEND_001|PROD_010|7|2024-10-24
VEND_003|PROD_006|7|2024-10-08
VEND_002|PROD_009|3|2024-10-05
VEND_003|PROD_006|7|2024-09-09
VEND_005|PROD_003|2|2024-02-08
VEND_001|PROD_004|10|2024-12-03
VEND_003|PROD_003|1|2024-01-16
VEND_002|PROD_002|8|2024-12-26
VEND_005|PROD_007|7|2024-11-12
VEND_001|PROD_003|5|2024-07-26
VEND_002|PROD_002|8|2024-12-14
VEND_004|PROD_003|1|2024-07-01
VEND_004|PROD_006|8|2024-10-09
